id,genres,keywords,original_title,overview,popularity,vote_average,vote_count,title
38117,"['Drama', 'Fantasy', 'Romance']","['high school', 'based on novel or book', 'bullying', 'love', 'beautiful woman', 'curse', 'tutor', 'based on fairy tale', 'teenage romance', 'modern fairy tale', 'based on young adult novel']",Beastly,"A modern-day take on the ""Beauty and the Beast"" tale where a New York teen is transformed into a hideous monster in order to find true love.",16.51,6.3,2658,Beastly
549294,"['Science Fiction', 'Drama', 'Thriller', 'Horror']","['brain tumor', 'new orleans, louisiana', 'time travel', 'swamp', 'surrealism', 'alcoholism', 'disappearance', 'best friend', 'drug overdose', 'paramedic', 'synthetic drug', 'drug', 'pineal gland']",Synchronic,"Two New Orleans paramedics' lives are ripped apart after encountering a series of horrific deaths linked to a designer drug with bizarre, otherworldly effects.",15.905,6.326,824,Synchronic
11232,"['Romance', 'Comedy', 'Fantasy']","['new york city', 'time travel', 'duke', 'fish out of water', 'falling in love', 'scientist', 'tv commercial', 'brooklyn bridge', 'ex-boyfriend ex-girlfriend relationship', 'advertising executive', 'broken elevator', 'gentleman', 'advertising agency', 'time portal', 'stage actor', 'brother sister relationship', '2000s', '1800s', 'time deadline', 'propriety', 'marry for money', 'big sister little brother', 'scientific theory']",Kate & Leopold,"When her scientist ex-boyfriend discovers a portal to travel through time -- and brings back a 19th-century nobleman named Leopold to prove it -- a skeptical Kate reluctantly takes responsibility for showing Leopold the 21st century. The more time Kate spends with Leopold, the harder she falls for him. But if he doesn't return to his own time, his absence will forever alter history.",20.224,6.326,1254,Kate & Leopold
431530,['Comedy'],['christmas'],A Bad Moms Christmas,"Amy, Kiki and Carla – three under-appreciated and over-burdened women – rebel against the challenges and expectations of the Super Bowl for mothers: Christmas. And if creating a more perfect holiday for their families wasn’t hard enough, they have to do all of that while hosting and entertaining their own mothers.",25.418,6.325,1968,A Bad Moms Christmas
169917,"['Crime', 'Drama', 'Mystery', 'Thriller']","['new york city', 'based on novel or book', 'murder', 'private investigator', 'mafia', 'drugs', 'alcoholic', 'kingpin', 'wife murder', '1990s']",A Walk Among the Tombstones,Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.,37.974,6.325,2672,A Walk Among the Tombstones
77866,"['Thriller', 'Action', 'Drama', 'Crime']","['smuggling (contraband)', 'head wound', 'criminal', 'security guard', 'contrebande']",Contraband,"When his brother-in-law runs afoul of a drug lord, family man Chris Farraday turns to a skill he abandoned long ago—smuggling—to repay the debt. But the job goes wrong, and Farraday finds himself wanted by cops, crooks and killers alike.",24.303,6.325,1960,Contraband
9964,"['Action', 'Comedy', 'Horror', 'Science Fiction']","['new zealand', 'gore', 'collector', 'chainsaw', 'fast food', 'testosterone']",Bad Taste,"A team from the intergalactic fast food chain Crumb's Crunchy Delights descends on Earth, planning to make human flesh the newest taste sensation. After they wipe out the New Zealand town Kaihoro, the country’s Astro-Investigation and Defense Service (AIaDS) is called in to deal with the problem. Things are complicated due to Giles, an aid worker who comes to Kaihoro the same day to collect change from the residents. He is captured by the aliens, and AIaDS stages a rescue mission that quickly becomes an all-out assault on the aliens’ headquarters.",13.583,6.325,756,Bad Taste
2116,"['Thriller', 'Crime', 'Drama']","['florida', 'miami, florida', 'double murder', 'divorce', 'police detective', 'extramarital affair']",Out of Time,"Matt Lee Whitlock, respected chief of police in small Banyan Key, Florida, must solve a vicious double homicide before he himself falls under suspicion. Matt Lee has to stay a few steps ahead of his own police force and everyone he's trusted in order to find out the truth.",17.065,6.325,1074,Out of Time
458344,"['Comedy', 'Drama', 'Romance']","['london, england', 'england', 'museum', 'e-mail', 'relationship problems', 'website', 'obsessed fan', 'english countryside', 'folk singer', 'high school teacher', 'singer-songwriter', 'boyfriend girlfriend relationship', 'correspondence', 'lecturer', 'long term relationship', 'rockstar', 'dysfunctional relationship', 'seaside village', 'sister sister relationship', 'children']","Juliet, Naked","Annie is stuck in a long-term relationship with Duncan – an obsessive fan of obscure rocker Tucker Crowe. When the acoustic demo of Tucker's hit record from 25 years ago surfaces, its discovery leads to a life-changing encounter with the elusive rocker himself.",11.733,6.324,444,"Juliet, Naked"
430231,"['Science Fiction', 'Horror', 'Thriller']","['suicide', 'sibling relationship', 'brother', 'supernatural', 'cult', 'childhood trauma', 'time loop', 'resolution', 'resolution collection', 'the endless']",The Endless,Two brothers return to the cult they fled from years ago to discover that the group's beliefs may be more sane than they once thought.,18.081,6.324,991,The Endless
11114,"['Fantasy', 'Animation', 'Comedy', 'Family']","['farm', 'friendship', 'escape', 'lighthouse keeper   ', 'maine', 'part live action', 'dragon', 'based on short story', 'part animation', 'live action and animation', '1900s']",Pete's Dragon,"Pete, a young orphan, runs away to a Maine fishing town with his best friend a lovable, sometimes invisible dragon named Elliott! When they are taken in by a kind lighthouse keeper, Nora, and her father, Elliott's prank playing lands them in big trouble. Then, when crooked salesmen try to capture Elliott for their own gain, Pete must attempt a daring rescue.",20.644,6.325,627,Pete's Dragon
